,0
0.0,0
1.0,1
4.0,2
0.0,3
3.0,4
0.0,5
1.0,6
3.0,7
0.0,8
2.0,9
2.0,10
3.0,11
2.0,12
1.0,13
1.0,14
4.0,15
0.0,16
1.0,17
1.0,18
0.0,19
0.0,20
0.0,21
1.0,22
1.0,23
1.0,24
3.0,25
1.0,26
0.0,27
3.0,28
3.0,29
1.0,30
0.0,31
2.0,32
4.0,33
0.0,34
1.0,35
0.0,36
0.0,37
3.0,38
0.0,39
2.0,40
0.0,41
3.0,42
1.0,43
2.0,44
0.0,45
2.0,46
1.0,47
1.0,48
1.0,49
2.0,50
2.0,51
0.0,52
2.0,53
2.0,54
0.0,55
2.0,56
2.0,57
1.0,58
0.0,59
0.0,60
1.0,61
1.0,62
1.0,63
1.0,64
4.0,65
1.0,66
1.0,67
1.0,68
1.0,69
2.0,70
1.0,71
1.0,72
0.0,73
1.0,74
3.0,75
1.0,76
2.0,77
3.0,78
2.0,79
0.0,80
1.0,81
3.0,82
2.0,83
0.0,84
2.0,85
2.0,86
0.0,87
1.0,88
4.0,89
1.0,90
0.0,91
2.0,92
0.0,93
1.0,94
2.0,95
3.0,96
0.0,97
0.0,98
0.0,99
2.0,100
3.0,101
1.0,102
2.0,103
0.0,104
1.0,105
2.0,106
0.0,107
0.0,108
4.0,109
0.0,110
0.0,111
3.0,112
0.0,113
2.0,114
1.0,115
0.0,116
1.0,117
2.0,118
0.0,119
2.0,120
1.0,121
2.0,122
2.0,123
3.0,124
0.0,125
0.0,126
5.0,127
0.0,128
1.0,129
2.0,130
2.0,131
0.0,132
1.0,133
0.0,134
0.0,135
1.0,136
0.0,137
1.0,138
0.0,139
0.0,140
2.0,141
2.0,142
1.0,143
1.0,144
1.0,145
0.0,146
3.0,147
0.0,148
0.0,149
0.0,150
0.0,151
0.0,152
2.0,153
2.0,154
3.0,155
0.0,156
0.0,157
1.0,158
1.0,159
2.0,160
3.0,161
0.0,162
0.0,163
2.0,164
0.0,165
0.0,166
2.0,167
2.0,168
2.0,169
3.0,170
1.0,171
0.0,172
3.0,173
1.0,174
2.0,175
4.0,176
0.0,177
0.0,178
0.0,179
1.0,180
1.0,181
0.0,182
0.0,183
2.0,184
4.0,185
0.0,186
1.0,187
1.0,188
2.0,189
1.0,190
1.0,191
2.0,192
1.0,193
1.0,194
2.0,195
1.0,196
0.0,197
1.0,198
0.0,199
2.0,200
6.0,201
3.0,202
0.0,203
0.0,204
0.0,205
1.0,206
0.0,207
2.0,208
0.0,209
4.0,210
3.0,211
0.0,212
2.0,213
0.0,214
0.0,215
1.0,216
2.0,217
0.0,218
0.0,219
3.0,220
0.0,221
2.0,222
0.0,223
0.0,224
0.0,225
6.0,226
0.0,227
3.0,228
0.0,229
3.0,230
2.0,231
2.0,232
1.0,233
0.0,234
0.0,235
0.0,236
1.0,237
0.0,238
1.0,239
0.0,240
4.0,241
0.0,242
0.0,243
2.0,244
0.0,245
2.0,246
1.0,247
0.0,248
0.0,249
2.0,250
3.0,251
1.0,252
0.0,253
0.0,254
1.0,255
1.0,256
0.0,257
2.0,258
1.0,259
1.0,260
2.0,261
3.0,262
0.0,263
0.0,264
0.0,265
1.0,266
2.0,267
4.0,268
0.0,269
2.0,270
2.0,271
2.0,272
1.0,273
2.0,274
0.0,275
0.0,276
1.0,277
1.0,278
2.0,279
2.0,280
0.0,281
0.0,282
3.0,283
1.0,284
0.0,285
1.0,286
4.0,287
2.0,288
0.0,289
0.0,290
2.0,291
2.0,292
0.0,293
1.0,294
3.0,295
1.0,296
3.0,297
0.0,298
2.0,299
1.0,300
3.0,301
0.0,302
1.0,303
2.0,304
2.0,305
3.0,306
1.0,307
1.0,308
2.0,309
