,Episode,Score,Epsilon
265,265,0.0,1.0
266,266,3.0,1.0
267,267,2.0,1.0
268,268,0.0,1.0
269,269,0.0,1.0
270,270,1.0,1.0
271,271,1.0,1.0
272,272,0.0,1.0
273,273,3.0,1.0
274,274,4.0,1.0
275,275,3.0,1.0
276,276,4.0,1.0
277,277,2.0,1.0
278,278,0.0,1.0
279,279,1.0,1.0
280,280,3.0,1.0
281,281,3.0,1.0
282,282,2.0,1.0
283,283,2.0,1.0
284,284,0.0,1.0
285,285,0.0,1.0
286,286,0.0,1.0
287,287,2.0,1.0
288,288,2.0,1.0
289,289,2.0,1.0
290,290,0.0,1.0
291,291,0.0,1.0
292,292,0.0,1.0
293,293,0.0,1.0
294,294,0.0,1.0
295,295,0.0,1.0
296,296,1.0,1.0
297,297,1.0,1.0
298,298,3.0,1.0
299,299,1.0,1.0
300,300,1.0,1.0
301,301,0.0,1.0
302,302,1.0,1.0
303,303,1.0,1.0
304,304,2.0,1.0
305,305,1.0,1.0
306,306,2.0,1.0
307,307,1.0,1.0
308,308,1.0,1.0
309,309,0.0,1.0
310,310,0.0,1.0
311,311,1.0,1.0
312,312,0.0,1.0
313,313,0.0,1.0
314,314,0.0,1.0
315,315,3.0,1.0
316,316,1.0,1.0
317,317,1.0,1.0
318,318,1.0,1.0
319,319,0.0,1.0
320,320,3.0,1.0
321,321,2.0,1.0
322,322,3.0,1.0
323,323,0.0,1.0
324,324,5.0,1.0
325,325,4.0,1.0
326,326,1.0,1.0
327,327,2.0,1.0
328,328,2.0,1.0
329,329,0.0,1.0
330,330,1.0,1.0
331,331,1.0,1.0
332,332,0.0,1.0
333,333,2.0,1.0
334,334,0.0,1.0
335,335,0.0,1.0
336,336,3.0,1.0
337,337,1.0,1.0
338,338,0.0,1.0
339,339,1.0,1.0
340,340,1.0,1.0
341,341,3.0,1.0
342,342,0.0,1.0
343,343,1.0,1.0
344,344,2.0,1.0
345,345,0.0,1.0
346,346,2.0,1.0
347,347,0.0,1.0
348,348,0.0,1.0
349,349,1.0,1.0
350,350,1.0,1.0
351,351,2.0,1.0
352,352,2.0,1.0
353,353,1.0,1.0
354,354,1.0,1.0
355,355,2.0,1.0
356,356,3.0,1.0
357,357,1.0,1.0
358,358,1.0,1.0
359,359,0.0,1.0
360,360,1.0,1.0
361,361,1.0,1.0
362,362,4.0,1.0
363,363,2.0,1.0
364,364,1.0,1.0
365,365,2.0,1.0
366,366,0.0,1.0
367,367,0.0,1.0
368,368,1.0,1.0
369,369,1.0,1.0
370,370,2.0,1.0
371,371,0.0,1.0
372,372,3.0,1.0
373,373,2.0,1.0
374,374,2.0,1.0
375,375,4.0,1.0
376,376,0.0,1.0
377,377,4.0,1.0
378,378,0.0,1.0
379,379,2.0,1.0
380,380,2.0,1.0
381,381,0.0,1.0
382,382,0.0,1.0
383,383,2.0,1.0
384,384,2.0,1.0
385,385,0.0,1.0
386,386,0.0,1.0
387,387,2.0,1.0
388,388,0.0,1.0
389,389,0.0,1.0
390,390,3.0,1.0
391,391,0.0,1.0
392,392,1.0,1.0
393,393,1.0,1.0
394,394,0.0,1.0
395,395,1.0,1.0
396,396,1.0,1.0
397,397,2.0,1.0
398,398,2.0,1.0
399,399,1.0,1.0
400,400,2.0,1.0
401,401,2.0,1.0
402,402,1.0,1.0
403,403,3.0,1.0
404,404,3.0,1.0
405,405,1.0,1.0
406,406,1.0,1.0
407,407,3.0,1.0
408,408,0.0,1.0
409,409,0.0,1.0
410,410,1.0,1.0
411,411,3.0,1.0
412,412,1.0,1.0
413,413,1.0,1.0
414,414,0.0,1.0
415,415,2.0,1.0
416,416,1.0,1.0
417,417,0.0,1.0
418,418,2.0,1.0
419,419,0.0,1.0
420,420,1.0,1.0
421,421,0.0,1.0
422,422,1.0,1.0
423,423,3.0,1.0
424,424,3.0,1.0
425,425,0.0,1.0
426,426,0.0,1.0
427,427,3.0,1.0
428,428,1.0,1.0
429,429,0.0,1.0
430,430,3.0,1.0
431,431,3.0,1.0
432,432,0.0,1.0
433,433,1.0,1.0
434,434,1.0,1.0
435,435,0.0,1.0
436,436,0.0,1.0
437,437,0.0,1.0
438,438,2.0,1.0
439,439,0.0,1.0
440,440,1.0,1.0
441,441,1.0,1.0
442,442,0.0,1.0
443,443,0.0,1.0
444,444,3.0,1.0
445,445,0.0,1.0
446,446,1.0,1.0
447,447,1.0,1.0
448,448,3.0,1.0
449,449,2.0,1.0
450,450,1.0,1.0
451,451,1.0,1.0
452,452,8.0,1.0
453,453,1.0,1.0
454,454,0.0,1.0
455,455,2.0,1.0
456,456,3.0,1.0
457,457,2.0,1.0
458,458,1.0,1.0
459,459,0.0,1.0
460,460,2.0,1.0
461,461,2.0,1.0
462,462,2.0,1.0
463,463,2.0,1.0
464,464,4.0,1.0
465,465,2.0,1.0
466,466,2.0,1.0
467,467,2.0,1.0
468,468,2.0,1.0
469,469,4.0,1.0
470,470,0.0,1.0
471,471,1.0,1.0
472,472,3.0,1.0
473,473,0.0,1.0
474,474,3.0,1.0
475,475,0.0,1.0
476,476,1.0,1.0
477,477,0.0,1.0
478,478,2.0,1.0
479,479,0.0,1.0
480,480,0.0,1.0
481,481,1.0,1.0
482,482,1.0,1.0
483,483,6.0,1.0
484,484,0.0,1.0
485,485,2.0,1.0
486,486,2.0,1.0
487,487,0.0,1.0
488,488,4.0,1.0
489,489,2.0,1.0
490,490,1.0,1.0
491,491,0.0,1.0
492,492,2.0,1.0
493,493,0.0,1.0
494,494,4.0,1.0
495,495,2.0,1.0
496,496,0.0,1.0
497,497,4.0,1.0
498,498,2.0,1.0
499,499,4.0,1.0
500,500,2.0,1.0
501,501,0.0,1.0
502,502,0.0,1.0
503,503,1.0,1.0
504,504,0.0,1.0
505,505,1.0,1.0
506,506,0.0,1.0
507,507,0.0,1.0
508,508,4.0,1.0
509,509,2.0,1.0
510,510,2.0,1.0
511,511,1.0,1.0
512,512,4.0,1.0
513,513,3.0,1.0
514,514,3.0,1.0
515,515,1.0,1.0
516,516,1.0,1.0
517,517,0.0,1.0
518,518,0.0,1.0
519,519,0.0,1.0
520,520,0.0,1.0
521,521,1.0,1.0
522,522,1.0,1.0
523,523,0.0,1.0
524,524,3.0,1.0
525,525,1.0,1.0
526,526,4.0,1.0
527,527,1.0,1.0
528,528,0.0,1.0
529,529,1.0,1.0
530,530,1.0,1.0
531,531,1.0,1.0
532,532,1.0,1.0
533,533,1.0,1.0
534,534,1.0,1.0
535,535,0.0,1.0
536,536,1.0,1.0
537,537,2.0,1.0
538,538,1.0,1.0
539,539,1.0,1.0
540,540,0.0,1.0
541,541,1.0,1.0
542,542,0.0,1.0
543,543,1.0,1.0
544,544,0.0,1.0
545,545,3.0,1.0
546,546,1.0,1.0
547,547,0.0,1.0
548,548,2.0,1.0
549,549,0.0,1.0
550,550,0.0,1.0
551,551,0.0,1.0
552,552,4.0,1.0
553,553,2.0,1.0
554,554,0.0,1.0
555,555,1.0,1.0
556,556,0.0,1.0
557,557,0.0,1.0
558,558,3.0,1.0
559,559,2.0,1.0
560,560,3.0,1.0
561,561,0.0,1.0
562,562,1.0,1.0
563,563,2.0,1.0
564,564,2.0,1.0
