CUDA_VISIBLE_DEVICES=0 python breakout.py -r 25 -o Ostap
Using TensorFlow backend.
2018-10-24 22:30:11.788911: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-24 22:30:11.859568: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-10-24 22:30:11.860009: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 980 major: 5 minor: 2 memoryClockRate(GHz): 1.2785
pciBusID: 0000:01:00.0
totalMemory: 3.94GiB freeMemory: 3.26GiB
2018-10-24 22:30:11.860043: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2018-10-24 22:30:12.091320: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-10-24 22:30:12.091363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2018-10-24 22:30:12.091372: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2018-10-24 22:30:12.091512: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 2978 MB memory) -> physical GPU (device: 0, name: GeForce GTX 980, pci bus id: 0000:01:00.0, compute capability: 5.2)
Episode: 90/4000000, score: 1.0, epsilon:1.0
Episode: 91/4000000, score: 1.0, epsilon:1.0
Episode: 92/4000000, score: 2.0, epsilon:1.0
Episode: 93/4000000, score: 0.0, epsilon:1.0
Episode: 94/4000000, score: 0.0, epsilon:1.0
Episode: 95/4000000, score: 1.0, epsilon:1.0
Episode: 96/4000000, score: 2.0, epsilon:1.0
Episode: 97/4000000, score: 4.0, epsilon:1.0
Episode: 98/4000000, score: 1.0, epsilon:1.0
Episode: 99/4000000, score: 1.0, epsilon:1.0
Episode: 100/4000000, score: 1.0, epsilon:1.0
Episode: 101/4000000, score: 2.0, epsilon:1.0
Episode: 102/4000000, score: 2.0, epsilon:1.0
Episode: 103/4000000, score: 0.0, epsilon:1.0
Episode: 104/4000000, score: 3.0, epsilon:1.0
Episode: 105/4000000, score: 1.0, epsilon:1.0
Episode: 106/4000000, score: 0.0, epsilon:1.0
Episode: 107/4000000, score: 0.0, epsilon:1.0
Episode: 108/4000000, score: 0.0, epsilon:1.0
Episode: 109/4000000, score: 0.0, epsilon:1.0
Episode: 110/4000000, score: 1.0, epsilon:1.0
Episode: 111/4000000, score: 12.0, epsilon:1.0
Episode: 112/4000000, score: 1.0, epsilon:1.0
Episode: 113/4000000, score: 5.0, epsilon:1.0
Episode: 114/4000000, score: 1.0, epsilon:1.0
Episode: 115/4000000, score: 3.0, epsilon:1.0
Episode: 116/4000000, score: 1.0, epsilon:1.0
Episode: 117/4000000, score: 0.0, epsilon:1.0
Episode: 118/4000000, score: 1.0, epsilon:1.0
Episode: 119/4000000, score: 0.0, epsilon:1.0
Episode: 120/4000000, score: 3.0, epsilon:1.0
Episode: 121/4000000, score: 2.0, epsilon:1.0
Episode: 122/4000000, score: 3.0, epsilon:1.0
Episode: 123/4000000, score: 1.0, epsilon:1.0
Episode: 124/4000000, score: 1.0, epsilon:1.0
Episode: 125/4000000, score: 1.0, epsilon:1.0
Episode: 126/4000000, score: 0.0, epsilon:1.0
Episode: 127/4000000, score: 1.0, epsilon:1.0
Episode: 128/4000000, score: 1.0, epsilon:1.0
Episode: 129/4000000, score: 3.0, epsilon:1.0
Episode: 130/4000000, score: 0.0, epsilon:1.0
Episode: 131/4000000, score: 2.0, epsilon:1.0
Episode: 132/4000000, score: 2.0, epsilon:1.0
Episode: 133/4000000, score: 0.0, epsilon:1.0
Episode: 134/4000000, score: 1.0, epsilon:1.0
Episode: 135/4000000, score: 1.0, epsilon:1.0
Episode: 136/4000000, score: 2.0, epsilon:1.0
Episode: 137/4000000, score: 1.0, epsilon:1.0
Episode: 138/4000000, score: 0.0, epsilon:1.0
Episode: 139/4000000, score: 1.0, epsilon:1.0
Episode: 140/4000000, score: 2.0, epsilon:1.0
Episode: 141/4000000, score: 0.0, epsilon:1.0
Episode: 142/4000000, score: 0.0, epsilon:1.0
Episode: 143/4000000, score: 2.0, epsilon:1.0
Episode: 144/4000000, score: 5.0, epsilon:1.0
Episode: 145/4000000, score: 1.0, epsilon:1.0
Episode: 146/4000000, score: 3.0, epsilon:1.0
Episode: 147/4000000, score: 0.0, epsilon:1.0
Episode: 148/4000000, score: 1.0, epsilon:1.0
Episode: 149/4000000, score: 2.0, epsilon:1.0
Episode: 150/4000000, score: 0.0, epsilon:1.0
Episode: 151/4000000, score: 2.0, epsilon:1.0
Episode: 152/4000000, score: 1.0, epsilon:1.0
Episode: 153/4000000, score: 0.0, epsilon:1.0
Episode: 154/4000000, score: 2.0, epsilon:1.0
Episode: 155/4000000, score: 3.0, epsilon:1.0
Episode: 156/4000000, score: 2.0, epsilon:1.0
Episode: 157/4000000, score: 0.0, epsilon:1.0
Episode: 158/4000000, score: 4.0, epsilon:1.0
Episode: 159/4000000, score: 1.0, epsilon:1.0
Episode: 160/4000000, score: 0.0, epsilon:1.0
Episode: 161/4000000, score: 2.0, epsilon:1.0
Episode: 162/4000000, score: 0.0, epsilon:1.0
Episode: 163/4000000, score: 2.0, epsilon:1.0
Episode: 164/4000000, score: 0.0, epsilon:1.0
Episode: 165/4000000, score: 2.0, epsilon:1.0
Episode: 166/4000000, score: 1.0, epsilon:1.0
Episode: 167/4000000, score: 0.0, epsilon:1.0
Episode: 168/4000000, score: 0.0, epsilon:1.0
Episode: 169/4000000, score: 1.0, epsilon:1.0
Episode: 170/4000000, score: 1.0, epsilon:1.0
Episode: 171/4000000, score: 0.0, epsilon:1.0
Episode: 172/4000000, score: 1.0, epsilon:1.0
Episode: 173/4000000, score: 1.0, epsilon:1.0
Episode: 174/4000000, score: 1.0, epsilon:1.0
Episode: 175/4000000, score: 0.0, epsilon:1.0
Episode: 176/4000000, score: 0.0, epsilon:1.0
Episode: 177/4000000, score: 1.0, epsilon:1.0
Episode: 178/4000000, score: 2.0, epsilon:1.0
Episode: 179/4000000, score: 1.0, epsilon:1.0
Episode: 180/4000000, score: 1.0, epsilon:1.0
Episode: 181/4000000, score: 1.0, epsilon:1.0
Episode: 182/4000000, score: 3.0, epsilon:1.0
Episode: 183/4000000, score: 4.0, epsilon:1.0
Episode: 184/4000000, score: 0.0, epsilon:1.0
Episode: 185/4000000, score: 2.0, epsilon:1.0
Episode: 186/4000000, score: 1.0, epsilon:1.0
Episode: 187/4000000, score: 2.0, epsilon:1.0
Episode: 188/4000000, score: 0.0, epsilon:1.0
Episode: 189/4000000, score: 1.0, epsilon:1.0
Episode: 190/4000000, score: 5.0, epsilon:1.0
Episode: 191/4000000, score: 1.0, epsilon:1.0
Episode: 192/4000000, score: 2.0, epsilon:1.0
Episode: 193/4000000, score: 3.0, epsilon:1.0
Episode: 194/4000000, score: 3.0, epsilon:1.0
Episode: 195/4000000, score: 3.0, epsilon:1.0
Episode: 196/4000000, score: 3.0, epsilon:1.0
Episode: 197/4000000, score: 1.0, epsilon:1.0
Episode: 198/4000000, score: 1.0, epsilon:1.0
Episode: 199/4000000, score: 0.0, epsilon:1.0
Episode: 200/4000000, score: 0.0, epsilon:1.0
Episode: 201/4000000, score: 3.0, epsilon:1.0
Episode: 202/4000000, score: 1.0, epsilon:1.0
Episode: 203/4000000, score: 0.0, epsilon:1.0
Episode: 204/4000000, score: 0.0, epsilon:1.0
Episode: 205/4000000, score: 2.0, epsilon:1.0
Episode: 206/4000000, score: 3.0, epsilon:1.0
Episode: 207/4000000, score: 5.0, epsilon:1.0
Episode: 208/4000000, score: 1.0, epsilon:1.0
Episode: 209/4000000, score: 0.0, epsilon:1.0
Episode: 210/4000000, score: 0.0, epsilon:1.0
Episode: 211/4000000, score: 2.0, epsilon:1.0
Episode: 212/4000000, score: 0.0, epsilon:1.0
Episode: 213/4000000, score: 0.0, epsilon:1.0
Episode: 214/4000000, score: 2.0, epsilon:1.0
Episode: 215/4000000, score: 3.0, epsilon:1.0
Episode: 216/4000000, score: 0.0, epsilon:1.0
Episode: 217/4000000, score: 1.0, epsilon:1.0
Episode: 218/4000000, score: 1.0, epsilon:1.0
Episode: 219/4000000, score: 0.0, epsilon:1.0
Episode: 220/4000000, score: 0.0, epsilon:1.0
Episode: 221/4000000, score: 1.0, epsilon:1.0
Episode: 222/4000000, score: 2.0, epsilon:1.0
Episode: 223/4000000, score: 0.0, epsilon:1.0
Episode: 224/4000000, score: 0.0, epsilon:1.0
Episode: 225/4000000, score: 2.0, epsilon:1.0
Episode: 226/4000000, score: 3.0, epsilon:1.0
Episode: 227/4000000, score: 0.0, epsilon:1.0
Episode: 228/4000000, score: 2.0, epsilon:1.0
Episode: 229/4000000, score: 2.0, epsilon:1.0
Episode: 230/4000000, score: 0.0, epsilon:1.0
Episode: 231/4000000, score: 4.0, epsilon:1.0
Episode: 232/4000000, score: 0.0, epsilon:1.0
Episode: 233/4000000, score: 2.0, epsilon:1.0
Episode: 234/4000000, score: 0.0, epsilon:1.0
Episode: 235/4000000, score: 3.0, epsilon:1.0
Episode: 236/4000000, score: 1.0, epsilon:1.0
Episode: 237/4000000, score: 1.0, epsilon:1.0
Episode: 238/4000000, score: 0.0, epsilon:1.0
Episode: 239/4000000, score: 0.0, epsilon:1.0
Episode: 240/4000000, score: 1.0, epsilon:1.0
Episode: 241/4000000, score: 3.0, epsilon:1.0
Episode: 242/4000000, score: 3.0, epsilon:1.0
Episode: 243/4000000, score: 1.0, epsilon:1.0
Episode: 244/4000000, score: 1.0, epsilon:1.0
Episode: 245/4000000, score: 4.0, epsilon:1.0
Episode: 246/4000000, score: 2.0, epsilon:1.0
Episode: 247/4000000, score: 2.0, epsilon:1.0
Episode: 248/4000000, score: 2.0, epsilon:1.0
